Recipient,Supplier,Year of order, ,Number ordered, ,Weapon designation,Weapon description,Number delivered, ,Year(s) of delivery,status,Comments,SIPRI TIV per unit,SIPRI TIV for total order,SIPRI TIV of delivered weapons
Angola,United States,1990,?,2,,APS-128,MP aircraft radar,2,?,1994,New,For 2 C-212 MP aircraft delivered from Spain,2.5,5,5
Angola,Soviet Union,1975,,1,?,P-12,air search radar,1,?,1975,Second hand,Probably second-hand; aid; designation uncertain (reported as 'radar for use with fighter aircraft'),1.8,1.8,1.8
Angola,Soviet Union,1979,?,16,?,P-12,air search radar,16,?,1980; 1981; 1982; 1983; 1984; 1985; 1986; 1987; 1988,New,For use with S-75 (SA-2) and S-125 (SA-3) SAM systems,4.5,72,72
Angola,Soviet Union,1983,?,4,?,P-12,air search radar,4,?,1984; 1985; 1986; 1987,New,Part of 4 SA-6b/2K12 Krug SAM regiments,4.5,18,18
Angola,Soviet Union,1980,?,16,?,P-15,air search radar,16,?,1981; 1982; 1983; 1984; 1985; 1986; 1987; 1988,New,For use with S-75 (SA-2) and S-125 (SA-3) SAM systems,4.5,72,72
Angola,Soviet Union,1985,?,7,?,P-35 Saturn,air search radar,7,?,1987; 1988,New,,5,35,35
Angola,Soviet Union,1983,,4,,P-40,air search radar,4,?,1984; 1987,New,,8,32,32
Angola,Soviet Union,1983,,12,,P-40,air search radar,12,?,1983; 1984; 1985; 1986; 1987; 1988,New,,8,96,96
Angola,Soviet Union,1983,,4,?,P-40,air search radar,4,?,1984; 1985; 1986; 1987,New,Part of 4 SA-6b/2K12 Krug SAM regiments,8,32,32
Angola,Soviet Union,1979,?,25,?,PRV-11,height-finding radar,25,?,1980; 1982; 1983; 1984; 1985; 1986; 1987; 1988,New,For use with S-75 (SA-2) and S-125 (SA-3) SAM systems,4,100,100
Angola,Soviet Union,1983,,2,,PRV-9,height-finding radar,2,?,1984; 1987,New,,3.5,7,7
Angola,Soviet Union,1983,,6,,PRV-9,height-finding radar,6,?,1983; 1984; 1985; 1986; 1987; 1988,New,,3.5,21,21
Angola,Soviet Union,1983,,4,?,PRV-9,height-finding radar,4,?,1984; 1985; 1986; 1987,New,Part of 4 SA-6b/2K12 Krug SAM regiments,3.5,14,14
Argentina,Denmark,2018,,3,,Scanter-4100,air/sea search radar,2,,2021,New,For 3 Gowind OPV from France,4.75,14.25,9.5
Argentina,Denmark,2018,,3,,Scanter-6000,air/sea search radar,3,,2021; 2022,New,For 3 Gowind OPV from France,4.75,14.25,14.25
Argentina,France,2014,?,5,?,Ground Observer-80,ground surv radar,5,?,2015,New,,0.75,3.75,3.75
Argentina,France,1979,?,17,?,DRPT-5 Rasit,ground surv radar,17,?,1979; 1980,New,,0.1,1.7,1.7
Argentina,France,1980,?,1,?,TRS-2215/2230,air search radar,1,?,1981,New,,13.5,13.5,13.5
Argentina,France,2013,?,1,,Vigile-200,SIGINT system,1,,2016,New,For modification of 1 Learjet-35 transport aircraft to SIGINT (ELINT) aircraft,7.5,7.5,7.5
Argentina,Israel,1989,,5,,EL/M-2022,MP aircraft radar,5,?,1995; 1997; 1999; 2000; 2002,New,Part of $30 m modernization of 5 S-2E ASW aircraft to S-2ET in Israel,2.5,12.5,12.5
Argentina,Italy,1985,?,3,,APS-705,MP aircraft radar,3,?,1986; 1987; 1988,New,APS-707 version; for modification of 3 Electra transport aircraft to MP aircraft,2,6,6
Argentina,Italy,1986,?,2,,RAT-31S,air search radar,2,?,1988,New,RAT-31S/L version,12,24,24
Argentina,Netherlands,1979,?,6,,DA-05,air search radar,6,,1985; 1986; 1987; 1990; 2000; 2004,New,For 6 MEKO-140 (Espora) frigates from FRG,6.5,39,39
Argentina,Netherlands,1978,,4,,DA-08,air search radar,4,,1983; 1984,New,For 4 MEKO-360 (Almirante Brown) frigates from FRG,9,36,36
Argentina,Netherlands,1982,,1,,DA-08,air search radar,1,,1983,New,For modernization of 1 Colossus (Veinticinco de Mayo) aircraft carrier,9,9,9
Argentina,Netherlands,1978,?,2,?,Flycatcher,fire control radar,2,?,1979; 1980,New,,5,10,10
Argentina,Netherlands,1978,?,8,,LIROD,fire control radar,8,,1983; 1984,New,For 4 MEKO-360 (Almirante Brown) frigates from FRG; for use with 40mm guns,2.5,20,20
Argentina,Netherlands,1982,?,1,,LW-08,air search radar,1,,1983,New,For modernization of 1 Veinticinco de Mayo (Colossus) aircraft carrier,9.5,9.5,9.5
Argentina,Netherlands,1978,,4,,STIR,fire control radar,4,,1983; 1984,New,For 4 MEKO-360 (Almirante Brown) frigates from FRG; for use with Aspide SAM,4.5,18,18
Argentina,Netherlands,1979,?,6,,WM-20,fire control radar,6,,1985; 1986; 1987; 1990; 2000; 2004,New,For 6 MEKO-140 (Espora) frigates from FRG; WM-28 version,6,36,36
Argentina,Netherlands,1970,?,2,,WM-20,fire control radar,2,,1974,New,For 2 TNC-45 (Intrepida) FAC from FRG; WM-22 version,6,12,12
Argentina,Netherlands,1978,?,4,,WM-20,fire control radar,4,,1983; 1984,New,For 4 MEKO-360 (Almirante Brown) frigates from FRG; WM-25 version,6,24,24
Argentina,Spain,2007,,4,,FPS-20,air search radar,4,?,2008; 2009; 2010,Second hand,Second-hand; FPS-113 version; aid,2,8,8
Argentina,Spain,2007,,4,,FPS-6,height-finding radar,4,?,2008; 2009; 2010,Second hand,Second-hand; FPS-89 or FPS-90 version; aid,1.4,5.6,5.6
Argentina,Spain,2007,?,1,,Lanza-LRR,air search radar,1,,2007,Second hand,Second-hand; aid; designation uncertain (reported as 'Lanza 3D radar'),5.2,5.2,5.2
Argentina,Switzerland,1978,?,54,?,Skyguard,fire control radar,54,?,1979; 1980; 1981,New,For use with GDF-002 35mm and L/70 40mm AA guns,5,270,270
Argentina,Switzerland,2018,,1,,Skyguard,fire control radar,1,,2018,New,CHF3.5 m ($3.4 m) deal: Skyguard-3 version,5,5,5
