Recipient,Supplier,Year of order, ,Number ordered, ,Weapon designation,Weapon description,Number delivered, ,Year(s) of delivery,status,Comments,SIPRI TIV per unit,SIPRI TIV for total order,SIPRI TIV of delivered weapons
Brazil,United States,1954,?,10,,Mk-26 76mm,naval gun,10,,1955,New,For 10 Imperial Marinheiro OPV/tugs from Netherlands,0.2,2,2
Brazil,United States,1940,?,16,,Mk-30 127mm,naval gun,16,,1951,New,For 4 Acre destroyers from UK,0.75,12,12
Brunei,Sweden,2007,?,3,,SAK-70 Mk-2 57mm,naval gun,3,,2011,New,For 3 OPV-80 (Darussalam) corvettes from FRG; SAK-70 Mk-3 version,2.5,7.5,7.5
Brunei,Sweden,2012,?,1,?,SAK-70 Mk-2 57mm,naval gun,1,,2014,New,SAK-70 Mk-3 version for 1 OPV-80 (Darussalam) corvette from FRG,2.5,2.5,2.5
Bulgaria,Italy,2020,?,2,,Super Rapid 76mm,naval gun,0,,,New,For 2 OPV-90 frigates from Germany,2.75,5.5,0
Bulgaria,Soviet Union,1986,?,2,,AK-230 30mm,naval gun,2,,1987,New,For 1 Project-102 (Mesar) support ship produced in Bulgaria,1,2,2
Canada,Italy,2019,,15,,127/64LW 127mm,naval gun,0,,,New,,7,105,0
Canada,Italy,1986,?,4,,Compact 76mm,naval gun,4,,1991; 1992; 1994,New,For modernization of 4 Iroquois (Tribal) frigates,2.5,10,10
Canada,Italy,1968,?,4,,Compatto 127mm,naval gun,4,,1972; 1973,New,For 4 Iroquois (Tribal) frigates produced in Canada,5.25,21,21
Canada,Sweden,1986,?,14,,SAK-70 Mk-2 57mm,naval gun,14,?,1992; 1993; 1994; 1995; 1996,New,For 12 Halifax (City) frigates produced in Canada; 1 for training and 1 spare gun,2.5,35,35
Canada,United Kingdom,1952,?,7,?,102mm Mk-19,naval gun,7,?,1953; 1954; 1955,Second hand but modernized,Second-hand; probably modernized before delivery; for modernization of 7 Tribal destroyers,1.49,10.4,10.4
Canada,United Kingdom,1955,?,2,,102mm Mk-19,naval gun,2,?,1956,Second hand but modernized,Second-hand; probably modernized before delivery; for modernziation of 2 CR destroyers,1.49,2.97,2.97
Canada,United Kingdom,1953,?,2,,102mm Mk-19,naval gun,2,?,1953,Second hand but modernized,Second-hand; probably modernized before delivery; for modernization of 2 V destroyers,1.49,2.97,2.97
Canada,United Kingdom,1958,?,10,,AS-Mk-10 Limbo,ASW mortar,10,,1962; 1963; 1964,New,For 4 Mackenzie and 2 Annapolis frigates produced in Canada,5,50,50
Canada,United Kingdom,1953,?,14,,AS-Mk-10 Limbo,ASW mortar,14,,1958; 1959,New,For 7 Restigouche frigates produced in Canada,5,70,70
Canada,United Kingdom,1950,?,14,,AS-Mk-10 Limbo,ASW mortar,14,,1955; 1956; 1957,New,For 7 St. Laurent frigates produced in Canada,5,70,70
Canada,United Kingdom,1968,?,4,,AS-Mk-10 Limbo,ASW mortar,4,,1972; 1973,New,For 4 Iroquois (Tribal) frigates produced in Canada,5,20,20
Canada,United Kingdom,1953,?,7,,Mk-6 76mm,naval gun,7,,1958; 1959,New,For 7 Restigouche frigates produced in Canada,2.5,17.5,17.5
Canada,United Kingdom,1958,?,3,,Mk-6 76mm,naval gun,3,,1962; 1963,New,For 3 Mackenzie frigates produced in Canada,2.5,7.5,7.5
Canada,United States,1958,?,7,,Mk-33 76mm,naval gun,7,,1962; 1963; 1964,New,For 4 Mackenzie and 2 Annapolis frigates produced in Canada,2.5,17.5,17.5
Canada,United States,1953,?,7,,Mk-33 76mm,naval gun,7,,1958; 1959,New,For 7 Restigouche frigates produced in Canada,2.5,17.5,17.5
Canada,United States,1950,?,14,,Mk-33 76mm,naval gun,14,,1955; 1956; 1957,New,For 7 St. Laurent frigates produced in Canada,2.5,35,35
Canada,United States,1986,,3,,Mk-41 VLS,naval SAM system,3,,1991; 1992; 1994,New,For modernization of 3 Iroquois (Tribal) frigates,20,60,60
Canada,United States,2021,?,15,,Mk-41 VLS,naval SAM system,0,,,New,For 15 Global Combat Ship frigates from UK,20,300,0
Canada,United States,1986,?,12,,Mk-48 GMVLS,naval SAM system,12,,1992; 1993; 1994; 1995; 1996,New,For 12 Halifax (City) frigates produced in Canada,5,60,60
Canada,United States,1986,,15,?,Mk-15 Phalanx,naval gun,15,?,1991; 1992; 1993; 1994,New,For 6 Halifax (City) frigates produced in Canada and modernization of 4 Iroquois (Tribal) frigates and 2 Protecteur support ships,7,105,105
Canada,United States,1990,,6,,Mk-15 Phalanx,naval gun,6,?,1994; 1995,New,Deal worth $32 m; for 6 Halifax (City) frigates produced in Canada,7,42,42
Chile,Italy,2007,,1,,Super Rapid 76mm,naval gun,1,,2009,New,For modernization of Boxer (Type-22 or Williams) frigate,2.75,2.75,2.75
Chile,United States,2001,,1,,Mk-15 Phalanx,naval gun,1,,2001,Second hand,Second-hand; for modernization of 1 Leander (Lynch) frigate; aid,2.8,2.8,2.8
China,France,1988,?,2,?,Compact 100mm,naval gun,2,?,1989,New,Incl for 1 Jianghu-2 (Type-053) frigate,5.25,10.5,10.5
China,France,1986,?,5,?,Crotale EDIR,naval SAM system,5,?,1990; 1991; 1992; 1993; 1996,New,Crotale Modulaire version; for 2 Type-052 (Luhu) destroyers produced in China and modernization of 3 Type-051 (Luda) destroyers; improved HQ-7 version later developed in China,5,25,25
