Recipient,Supplier,Year of order, ,Number ordered, ,Weapon designation,Weapon description,Number delivered, ,Year(s) of delivery,status,Comments,SIPRI TIV per unit,SIPRI TIV for total order,SIPRI TIV of delivered weapons
Canada,United Kingdom,1977,,195,,Scorpion 76mm,tank turret,195,?,1979; 1980; 1981; 1982,New,For 195 Piranha (Cougar) FSV from Switzerland,0.5,97.5,97.5
Canada,United States,1972,,2,,air refuel system,air refuel system,2,,1972,New,For modification of 2 Boeing-707 (CC-137) transport aircraft to tanker/transport aircraft,10,20,20
Canada,United States,1997,?,494,,LAV-25 turret,IFV turret,494,?,1998; 1999; 2000; 2001; 2002,New,For 494 Piranha-3 (LAV-3 or Kodiak) IFV version from Switzerland,0.6,296.4,296.4
Canada,United States,1993,,203,,LAV-25 turret,IFV turret,203,?,1996; 1997; 1998,New,For 203 Piranha (LAV-25 or Coyote) APC from Switzerland,0.6,121.8,121.8
Chile,Israel,1989,?,2,,air refuel system,air refuel system,2,,1996,New,For $30 m modification of 2 Boeing-707 transport aircraft to tanker/transport aircraft,10,20,20
Colombia,Israel,2007,,1,,air refuel system,air refuel system,1,,2010,New,For modification of 1 Boeing-767 transport aircraft from USA to MMTT tanker/transport aircraft in Israel,10,10,10
Colombia,Israel,1991,,1,,air refuel system,air refuel system,1,,1991,New,For modification of 1 Boeing-707 transport aircraft to tanker/transport aircraft,10,10,10
Colombia,Israel,2013,?,32,?,Samson Mini,APC turret,32,?,2014,New,For 32 Piranha-3 (Stryker) APC from Canada,0.05,1.6,1.6
Colombia,United States,2013,,12,,Textron turret,APC turret,12,?,2014,New,Part of $5.5 m deal; for modernization of 12 ASV-150 (M-1117) APC,0.05,0.6,0.6
Croatia,Israel,2017,,8,,UT-25/UT-30,IFV turret,8,?,2019,New,HRK94 m ($14.8 m) deal; UT-30MK2 version for 6 AMV IFV,0.6,4.8,4.8
Croatia,Norway,2007,?,54,?,Protector,APC turret,54,?,2009; 2010; 2011,New,For 54 AMV APC from Finland,0.05,2.7,2.7
Croatia,Norway,2008,?,26,?,Protector,APC turret,26,?,2012,New,For 26 AMV APC from Finland,0.05,1.3,1.3
Czechia,Norway,2009,,90,?,Protector,APC turret,90,?,2010; 2011; 2012; 2013,New,For LMV APV from Italy,0.05,4.5,4.5
Czechia,Norway,2008,,15,?,Protector,APC turret,15,?,2008,New,For 15 LMV APV from Italy,0.05,0.75,0.75
DR Congo,France,1985,,4,,BTM,APC turret,4,,1988,New,BTM-105 version for 4 Fahd APC from Egypt,0.04,0.16,0.16
DR Congo,France,1989,,16,?,BTM,APC turret,16,?,1990,New,BTM-105 version for 16 Fahd APC from Egypt,0.04,0.64,0.64
